  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      183        3.743        4.692            0      342.379       13.834       96.872
      184        3.678        4.714            0      351.315       26.773       96.854
      185        3.866        4.638            0      345.160       12.025       98.914
      186        3.964        4.600            0      342.452       35.517       98.961
      187        4.121        4.512            0      335.514       69.305       97.082
      188        4.159        4.352            0      329.035       43.492       96.941
      189        3.861        4.640            0      339.976       75.476       96.836
      190        4.038        4.612            0      335.467       46.317       98.193
      191        4.142        4.573            0      336.725       49.835      100.881
      192        4.468        4.227            0      324.674       59.686       91.917
      193        4.021        4.489            0      333.249       42.328       96.113
      194        4.046        4.527            0      339.454       66.100       98.313
      195        3.671        4.817            0      338.026       57.746       99.098
      196        4.104        4.464            0      331.270       58.229       97.268
      197        3.524        4.665            0      342.311       62.059       97.762
      198        3.222        5.041            0      353.344       88.504       95.376
      199        3.438        4.649            0      344.230       55.908       96.733
      200        3.621        4.650            0      347.444       69.913       96.520
      201        3.640        4.651            0      348.029       70.839       97.186
      202        3.134        4.614            0      338.113       60.806       95.411
      203        3.347        4.907            0      350.208       75.407      100.088
      204        3.371        4.558            0      338.053       62.192       94.856
      205        3.140        4.988            0      348.023       62.393       99.142
      206        3.647        4.538            0      339.572       74.306       96.849
      207        3.649        4.578            0      336.975       70.519       96.332
      208        3.461        4.684            0      343.904       71.137       97.281
      209        3.924        4.617            0      339.160       64.399       97.507
      210        3.365        4.650            0      344.717       65.604       97.402
      211        3.765        4.528            0      347.891       69.016       97.146
      212        3.902        4.491            0      346.297       57.965       99.000
      213        3.230        4.817            0      348.629       86.621       96.555
      214        3.630        4.591            0      337.268       70.729       97.804
      215        4.494        4.130            0      325.219       80.270       95.805
      216        3.895        4.334            0      326.716       48.246       96.812
      217        4.193        4.154            0      328.012       66.349       92.338
      218        4.483        4.268            0      330.647      111.151       95.954
      219        3.503        4.488            0      326.325       64.286       98.998
      220        3.717        4.481            0      324.684       70.551       96.049
      221        4.193        4.466            0      329.695       64.708       95.348
      222        3.934        4.468            0      333.052       74.676       97.312
      223        4.048        4.505            0      331.155       70.128       96.239
      224        3.815        4.537            0      329.871       67.343       98.110
      225        3.853        4.506            0      321.896       84.778       96.883
      226        3.686        4.417            0      334.897       89.093       97.141
      227        3.496        4.360            0      328.737       62.676       97.294
      228        4.014        4.196            0      329.335       74.477       97.481
      229        4.607        3.948            0      316.948       71.670       92.425
      230        3.322        4.800            0      346.167       71.492       99.391
      231        3.351        4.830            0      351.095       89.637       95.212
      232        3.555        4.404            0      330.203       52.019       95.847
      233        3.477        4.658            0      338.834       65.534       99.936
      234        3.738        4.544            0      345.488       60.377       96.247
      235        3.704        4.534            0      346.907       68.011       95.659
      236        3.560        4.687            0      342.459       61.014       96.375
      237        3.203        4.906            0      345.114       72.990       98.122
      238        3.793        4.708            0      353.269       68.323       94.508
      239        3.858        4.504            0      335.249       79.029       97.272
      240        3.616        4.664            0      343.444       56.442       97.647
      241        3.682        4.540            0      346.073       84.854      100.140
      242        3.706        4.625            0      352.830       78.764      100.707
      243        4.154        4.329            0      333.126       99.157       97.704
      244        3.508        4.525            0      333.987       55.668       98.147
      245        3.302        4.623            0      339.028       68.959       95.882
      246        2.949        4.746            0      341.448       78.449       96.217
      247        3.923        4.476            0      333.582       59.465       97.636
      248        4.362        4.160            0      322.166       69.903      100.100
      249        4.298        4.273            0      342.326       90.183       84.434
      250        4.221        4.331            0      331.651      116.398       85.807
      251        4.537        4.079            0      329.143       79.063       83.630
      252        4.564        4.224            0      332.519       96.243       82.520
      253        4.624        4.047            0      318.535       88.292       86.821
      254        4.586        4.135            0      326.235      115.632       87.976
      255        4.588        4.201            0      327.511      118.931       82.428
      256        4.444        4.146            0      325.360       79.700       96.238
      257        4.612        3.940            0      323.151       62.451       94.531
      258        4.899        3.766            0      307.950       84.461       86.137
      259        4.601        3.759            0      319.817       40.313       77.353
      260        4.673        3.924            0      318.741       64.640       97.520
      261        4.316        4.140            0      325.570       88.419       92.554
      262        4.880        3.792            0      317.449       71.372       84.723
      263        4.444        4.116            0      318.888       82.066       84.724
      264        4.378        4.222            0      325.562       98.449       96.490
      265        4.622        4.242            0      325.454       96.380       97.790
      266        4.591        4.127            0      326.778       91.984       79.804
      267        4.589        3.883            0      323.029       56.788       84.329
      268        4.813        4.072            0      320.348       65.256       89.535
      269        4.215        4.314            0      331.570       79.969       96.806
      270        3.902        4.364            0      329.759      121.538       92.428
      271        4.589        4.253            0      322.514      127.023       92.802
      272        4.635        4.043            0      322.999      101.615       70.144
      273        4.906        3.758            0      307.466       86.529       91.735
      274        4.638        3.621            0      302.270       56.153       91.233
      275        4.773        3.661            0      307.625       68.397       90.636
      276        4.879        3.551            0      301.517       89.876       79.562
      277        4.848        3.775            0      313.675       73.564       84.590
      278        4.597        3.998            0      321.303       62.508       86.753
      279        4.692        3.803            0      313.180       57.821       85.808
      280        5.021        3.628            0      300.977       62.562       81.687
      281        4.812        3.573            0      307.635       60.042       70.482
      282        4.618        4.125            0      325.412      112.196       83.101
      283        3.921        4.549            0      337.598       62.218       95.873
      284        3.027        4.991            0      349.835       77.493       96.904
      285        2.976        4.939            0      340.934       71.502       97.776
      286        3.381        4.856            0      354.189       67.051       95.664
      287        3.564        4.542            0      335.848       51.035       96.236
      288        3.702        4.652            0      335.979       43.991       96.730
      289        3.896        4.482            0      327.495       48.319       95.035
      290        4.150        4.269            0      328.180       44.766       97.267
      291        3.625        4.685            0      328.206       40.784       97.500
      292        3.599        4.725            0      344.331       61.453       96.237
      293        3.505        4.559            0      327.525       53.252       96.128
      294        3.884        4.140            0      320.515       38.822       94.118
      295        3.881        4.302            0      324.067       37.812       95.135
      296        3.814        4.684            0      333.643       61.933       95.805
      297        3.247        4.831            0      343.338       82.238       94.489
      298        3.534        4.566            0      331.983       39.601       96.055
      299        3.887        4.447            0      326.600       50.388       95.539
      300        3.597        4.628            0      332.224       98.835       95.276
      301        3.778        4.379            0      328.989       80.086       93.426
      302        3.728        4.405            0      335.802       51.097       90.748
      303        4.084        4.207            0      327.576       56.239       93.311
      304        3.377        4.446            0      327.139       58.254       98.185
      305        4.248        4.103            0      315.330       67.474       96.245
